date,market,value
2021-01-01,faridabad,71
2021-01-02,faridabad,52
2021-01-03,faridabad,54
2021-01-04,faridabad,32
2021-01-05,faridabad,85
2021-01-06,faridabad,17
2021-01-07,faridabad,71
2021-01-08,faridabad,36
2021-01-09,faridabad,16
2021-01-10,faridabad,68
2021-01-11,faridabad,12
2021-01-12,faridabad,4
2021-01-13,faridabad,68
2021-01-14,faridabad,76
2021-01-15,faridabad,38
2021-01-16,faridabad,25
2021-01-17,faridabad,38
2021-01-18,faridabad,96
2021-01-19,faridabad,97
2021-01-20,faridabad,78
2021-01-21,faridabad,73
2021-01-22,faridabad,58
2021-01-23,faridabad,11
2021-01-24,faridabad,99
2021-01-25,faridabad,38
2021-01-26,faridabad,79
2021-01-27,faridabad,17
2021-01-28,faridabad,41
2021-01-29,faridabad,13
2021-01-30,faridabad,99
2021-02-01,faridabad,47
2021-02-02,faridabad,99
2021-02-03,faridabad,46
2021-02-04,faridabad,70
2021-02-05,faridabad,64
2021-02-06,faridabad,64
2021-02-07,faridabad,61
2021-02-08,faridabad,21
2021-02-09,faridabad,1
2021-02-10,faridabad,78
2021-02-11,faridabad,1
2021-02-12,faridabad,0
2021-02-13,faridabad,49
2021-02-14,faridabad,42
2021-02-15,faridabad,64
2021-02-16,faridabad,73
2021-02-17,faridabad,4
2021-02-18,faridabad,95
2021-02-19,faridabad,80
2021-02-20,faridabad,7
2021-02-21,faridabad,76
2021-02-22,faridabad,72
2021-02-23,faridabad,91
2021-02-24,faridabad,63
2021-02-25,faridabad,80
2021-02-26,faridabad,80
2021-02-27,faridabad,64
2021-03-01,faridabad,34
2021-03-02,faridabad,16
2021-03-03,faridabad,8
2021-03-04,faridabad,28
2021-03-05,faridabad,19
2021-03-06,faridabad,55
2021-03-07,faridabad,84
2021-03-08,faridabad,82
2021-03-09,faridabad,79
2021-03-10,faridabad,44
2021-03-11,faridabad,73
2021-03-12,faridabad,99
2021-03-13,faridabad,79
2021-03-14,faridabad,65
2021-03-15,faridabad,27
2021-03-16,faridabad,62
2021-03-17,faridabad,40
2021-03-18,faridabad,48
2021-03-19,faridabad,27
2021-03-20,faridabad,83
2021-03-21,faridabad,24
2021-03-22,faridabad,13
2021-03-23,faridabad,45
2021-03-24,faridabad,53
2021-03-25,faridabad,0
2021-03-26,faridabad,69
2021-03-27,faridabad,22
2021-03-28,faridabad,60
2021-03-29,faridabad,85
2021-03-30,faridabad,65
2021-04-01,faridabad,77
2021-04-02,faridabad,53
2021-04-03,faridabad,2
2021-04-04,faridabad,30
2021-04-05,faridabad,93
2021-04-06,faridabad,22
2021-04-07,faridabad,4
2021-04-08,faridabad,16
2021-04-09,faridabad,70
2021-04-10,faridabad,70
2021-04-11,faridabad,80
2021-04-12,faridabad,40
2021-04-13,faridabad,76
2021-04-14,faridabad,38
2021-04-15,faridabad,89
2021-04-16,faridabad,36
2021-04-17,faridabad,92
2021-04-18,faridabad,13
2021-04-19,faridabad,29
2021-04-20,faridabad,72
2021-04-21,faridabad,87
2021-04-22,faridabad,26
2021-04-23,faridabad,75
2021-04-24,faridabad,4
2021-04-25,faridabad,89
2021-04-26,faridabad,83
2021-04-27,faridabad,53
2021-04-28,faridabad,92
2021-04-29,faridabad,25
2021-05-01,faridabad,29
2021-05-02,faridabad,93
2021-05-03,faridabad,96
2021-05-04,faridabad,23
2021-05-05,faridabad,26
2021-05-06,faridabad,62
2021-05-07,faridabad,58
2021-05-08,faridabad,54
2021-05-09,faridabad,19
2021-05-10,faridabad,47
2021-05-11,faridabad,64
2021-05-12,faridabad,98
2021-05-13,faridabad,3
2021-05-14,faridabad,90
2021-05-15,faridabad,53
2021-05-16,faridabad,53
2021-05-17,faridabad,10
2021-05-18,faridabad,51
2021-05-19,faridabad,14
2021-05-20,faridabad,1
2021-05-21,faridabad,50
2021-05-22,faridabad,71
2021-05-23,faridabad,60
2021-05-24,faridabad,89
2021-05-25,faridabad,82
2021-05-26,faridabad,9
2021-05-27,faridabad,43
2021-05-28,faridabad,12
2021-05-29,faridabad,39
2021-05-30,faridabad,73
2021-06-01,faridabad,48
2021-06-02,faridabad,18
2021-06-03,faridabad,47
2021-06-04,faridabad,98
2021-06-05,faridabad,73
2021-06-06,faridabad,43
2021-06-07,faridabad,87
2021-06-08,faridabad,11
2021-06-09,faridabad,11
2021-06-10,faridabad,98
2021-06-11,faridabad,82
2021-06-12,faridabad,46
2021-06-13,faridabad,92
2021-06-14,faridabad,17
2021-06-15,faridabad,48
2021-06-16,faridabad,64
2021-06-17,faridabad,95
2021-06-18,faridabad,61
2021-06-19,faridabad,82
2021-06-20,faridabad,36
2021-06-21,faridabad,60
2021-06-22,faridabad,31
2021-06-23,faridabad,63
2021-06-24,faridabad,59
2021-06-25,faridabad,73
2021-06-26,faridabad,32
2021-06-27,faridabad,72
2021-06-28,faridabad,24
2021-06-29,faridabad,60
2021-07-01,faridabad,38
2021-07-02,faridabad,8
2021-07-03,faridabad,86
2021-07-04,faridabad,5
2021-07-05,faridabad,93
2021-07-06,faridabad,94
2021-07-07,faridabad,94
2021-07-08,faridabad,59
2021-07-09,faridabad,13
2021-07-10,faridabad,85
2021-07-11,faridabad,48
2021-07-12,faridabad,13
2021-07-13,faridabad,83
2021-07-14,faridabad,54
2021-07-15,faridabad,54
2021-07-16,faridabad,24
2021-07-17,faridabad,16
2021-07-18,faridabad,29
2021-07-19,faridabad,41
2021-07-20,faridabad,83
2021-07-21,faridabad,66
2021-07-22,faridabad,17
2021-07-23,faridabad,22
2021-07-24,faridabad,88
2021-07-25,faridabad,20
2021-07-26,faridabad,1
2021-07-27,faridabad,48
2021-07-28,faridabad,99
2021-07-29,faridabad,32
2021-07-30,faridabad,86
2021-08-01,faridabad,56
2021-08-02,faridabad,9
2021-08-03,faridabad,68
